review_id,order_id,enreview,delivery,product,service,delivery_sent,product_sent,service_sent
598cbb9ac3d8ee506744943466a15cae,553ba7f2b59345ea057f5a8062784dfd,fast delivery i have n't tested the product yet but the delivery was above expectation,fast delivery,none,none,1,0,0
926ca23b647493405cc32d0b99df770b,acbd43df296646b7b242d1e25b18a646,there was a missing product in my order my order had two items but we only received one item i need the delivery position of the item hp cf a a black original toner,none,none,there was a missing product,0,0,-1
9c0839cd1808c07e2b6b4e552937cbd9,b0e61103ba1dee7e3c3c31f68e62a3fb,all good product as described very good and fast delivery,fast delivery,all good product as described,none,1,1,0
aec8499fa2d5740ba019ee9d082e77af,f2941ef41efb5162199b15316b05ce3e,it 's beautiful we have n't finished yet but the finish is perfect,none,it 's beautiful we have n't finished yet but the finish is perfect,none,0,1,0
c6fd05e1732a58af2068730e0a65f112,5028b62d8f474883ae57b5da1ffd1e8a,excellent product,none,excellent product,none,0,1,0
08ee947fb131a0a99cc9c7cb8b111238,0666806082c797ed8410aadc2e08f286,preço beautiful product great price,none,beautiful product great price,none,0,1,0
61b4c83cf866c794bbd675025b5820e2,f2289364095eca9fbc96b91e58d4aaa7,the material is very good i recommend it to everyone,none,the material is very good,none,0,1,0
5ddb0f1fd615c6b88b64fac1a8493821,f6fb987bc7494802dc112987999e04fe,satisfied product as advertised,none,satisfied product as advertised,none,0,1,0
65f9060ae491dc623dc385c6aaa712bd,a7c6365fed8c291cfac8b74f173b7a4f,i was satisfied with the product i really liked the product i just did n't like it more because i had to pick it up at the post office,had to pick it up at the post office,i was satisfied with the product,none,1,1,0
0247f557f33e10d5b9a01e5e9674b5a1,4929d4d047361715eb1ad08b7affce93,i loved it it arrived a few days before the deadline it 's already installed perfect and beautiful i highly recommend it hugs,arrived a few days before the deadline,it arrived a few days before the deadline it 's already installed perfect and beautiful,none,1,1,0
a6d8090710f26047102b2924f8803359,afced00eb2f0134a2c5173999ca5086d,the product arrived before the deadline i was very well attended by the reseller they called to confirm if the chosen product was correct very satisfied,the product arrived before the deadline,none,they called to confirm if the chosen product was correct very satisfied,1,0,1
4c31a5b20b23ad95696d284081296b25,0dde32a7d38a8fd9a7e5b383271a5eea,a entrega do mesmo i only received the remote control of cod made through eletromassa components invoice number the control of cod was not included in the delivery package it was missing i am waiting for the delivery of the same,i only received the remote control of cod made through eletromassa components invoice number the control of cod was not included in the delivery package it was missing i am waiting for the delivery of the same,the control of cod was not included in the delivery package it was missing,none,-1,-1,0
fc6698a7d7bce6a835df85e1e83d936e,4256e4eb92bdf0eda17c3bcee4c0771c,i want to exchange because i bought the wrong model what can i do,none,i bought the wrong model,i want to exchange because i bought the wrong model,0,-1,-1
b76b3537160beda2e41e9fe11da68065,9641d6be3bc2c61bfeb713777a1a8ae0,i liked it the delivery was fast,delivery was fast,none,none,1,0,0
b16f8ba8d2a8677c090ae8f36d095db1,335874150963b28de5e55b480495739e,where 's the product i have n't received it yet,none,none,purchase service,0,0,1
02fce2d21962d7e2a5cd2a8c77e7713f,62a50d53a4e50a04954b779f7ee090db,i would recommend the store for its speed and customer care,none,none,customer care,0,0,1
245a2deaf11c301c2c352c70fa73979c,b6b37898db2f4f8ade35aeda94a19c91,i recommend it it arrived before the deadline,arrived before the deadline,none,very satisfied high quality product fast delivery i recommend to everyone,1,0,1
2a5bccee3f53165524ff5cc7fb0adb0c,192162688f179d526243e303ed01abe6,very satisfied high quality product fast delivery i recommend to everyone,fast delivery,high quality product fast delivery,none,1,1,0
dbc34097c70956a41292d463896793d0,d211250c55eeca57b507cfe8e97e8d7d,the product material is good but it does not fit perfectly,none,the product material is good but it does not fit perfectly,none,0,1,0
37dddf2d45d45bbd66790dabc9efa71e,c98f20eb107a235a15b60b2b5de731da,excellent everything is great,none,excellent,excellent everything is great,0,1,1
8bd6554177ac8cb40bc4e7427e2940a6,130b55c573b5ac7e40d3c3534699f293,very good i received my purchase earlier than expected,earlier than expected,none,earlier than expected,1,0,1
7c812140ac3b403891fb0aa3d5d04059,2ae306b242fe86fdc59867d442839cf6,cortina exatamente como no pedido translates to curtain exactly as ordered,none,none,none,0,0,0
2835986fb61a9e646a7d2c79155ebdfa,d9d104af1ea99e0b7f6b0644eedc74d0,good price on time delivery,on time delivery,none,none,1,0,0
876810384b68902e9a007ef7d7fe9a01,8ef17147aad160f7780239dcf0acb400,very good highly recommended,none,very good highly recommended,highly recommended,0,1,1
91c3523eb116609c5e674ea0fca34bf4,0d3932a3836fab6762836714e0eee9ae,too much delay in delivery they do n't provide any explanation,too much delay in delivery,none,none,-1,0,0
f2621e379dea4fd993a35a69fbbc8a72,ee24dc874cf2cb44acd098173b7ff240,weak not even a satisfaction or justification for why the delay still without receiving the product it 's already the third time i try to buy the same product and i do n't receive it,i do n't receive it,none,weak not even a satisfaction or justification,1,0,-1
e429bc43d4786663bab78978c344bc3d,a9f3eefeba2b707e39dfc81dea76cb3a,autotransformer excellent delivery very good product,excellent delivery,very good product,none,1,1,0
bc7d7e8e606c43335cb2916a336307fe,570ddeb3f301dec9fc28d95add0e825b,fast delivery cute loved it and the price is really good,fast delivery,cute loved it and the price is really good,none,1,1,0
899c059003c6c330e8de3ea01deb87c3,1d855e8c92028241ca7037420e529185,product delivered before the deadline and of great quality i recommend it,delivered before the deadline,none,none,1,0,0
3515cde49d06aba09fb922fa1cdccdb3,7057f095c40b9d5ac73a8d6bac57ef14,i recommend this great product with super fast delivery,super fast delivery,great product,none,1,1,0
e9c7d27d3e5d136c98cc91ba30c67d2e,beffe64d2172f01e39f8c776eb5862b0,i am satisfied with this delivery but very upset about the second delivery that i have not yet received at my residence i received an email about an unexpected delay with this delivery i am awaiting a response,i am satisfied with this delivery but very upset about the second delivery that i have not yet received at my residence,none,i am very upset about the second delivery that i have not yet received at my residence i received an email about an unexpected delay with this delivery i am awaiting a response,1,0,-1
42857910427af624ab04aea42bb12c1a,a4e68ccc93701454c492e5c54e86c9a2,continue attending to the customer in all ways leaving them totally satisfied,none,none,attending to the customer in all ways leaving them totally satisfied,0,0,1
9a7df3dd5d627fbea9f21801cdae60bf,f97038209977e4fcbbbb7ca58e55bc1b,good quality product and the american store delivered before the deadline,before the deadline,good quality product,good quality product and the american store delivered before the deadline,1,1,1
d3aa317bb6664d1d8a9520fa6c0c294f,384c77719e344da55f8a137a0fc63b4b,the product is good,none,product is good,none,0,1,0
505f1fd47ed5c9e641c8d15f86bdce77,38fcd65b163e9fbd649c5135e629bfbb,it is not the same product as in the photo but it is not bad,none,not the same product,none,0,1,0
9a89ed19650141e72c62b333ebed8104,f352ac1d5c7a30a8108382cdb40facc6,it arrived on time the box is very beautiful but it lacks a bit in finishing,it arrived on time,the box is very beautiful,none,1,1,0
1251980336177d66fa0036dd6319d805,6d4fbffb6862725cc8485066b8aca192,it was delivered on time on a secure website but it arrived broken i hope the store will exchange it or refund the money i 'm waiting for a response,it was delivered on time on a secure website,it arrived broken,i hope the store will exchange it or refund the money i 'm waiting for a response,1,-1,1
3a0a2262092088ab4c0b99dbb2b74d65,420b8fd243de13ebf2c9096ce7a69750,translation i recommend great service,none,none,great service,0,0,1
d2266a74fe69768accd1817f6001238c,9de76ec033b835610e97e8b8b78011d1,i was sent a product with a much smaller size than advertised i requested an exchange,none,product with a much smaller size than advertised,requested an exchange,0,1,1
8dae82a53c3c615263a881b747d45b3a,9917855d5e68773f7db62f2dbfc06f71,i do not recommend it i have not received the product yet,none,none,none,0,0,0
f22e960aa1892ea63e5924cc0b999186,8652f7789fe1585b439154b7ae0f4285,i did not receive the product nor a refund,none,none,i did not receive the product nor a refund,0,0,1
4bcaccec6a8ecab94dfdb15730cec473,9d078a66d307090b2efdaf4f656e885c,i recommend the product and the seller the product is of excellent quality the merchandise arrived before the deadline,merchandise arrived before the deadline,the product is of excellent quality,i recommend the product and the seller the product,1,1,1
af23d687c0a17dac4da4f7e4f6160848,f3ef05764ab33b7cd322aa7edd599de7,without any statements i just picked up the merchandise at the post office,none,none,none,0,0,0
26d5ca0feea02fdafaf5ea755abea1b4,9c41b4f492e766fc38f8df3e60c4e144,all good as expected,none,all good as expected,all good as expected,0,1,1
b192c017469e3ae70d4b02911a1202f6,b42b605ed9b590d3c82600285db879e9,my fiancee loved the product,none,all good as expected,none,0,1,0
4abe38cb949e6aafbbec4704bc374e96,cb75cce6a888911baa94b70ed54fd7be,vip treatment it arrived on time and i would definitely recommend it perfect product,arrived on time,perfect product,vip treatment it arrived on time and i would definitely recommend it perfect product,1,1,1
ce87bdee1cedddc6bb045ccc39deb75f,ba3f824b4ebed08a7a4bf92937017703,excellent delivery mt before the expected deadline,delivery before the expected deadline,none,none,1,0,0
bc677973a1a1fd195ad1a9c6a912c31b,20d82c386747fe65c4190d75f15c9a6d,i purchased two black ink cartridges and despite receiving them on time i did not receive a physical invoice or an email with the invoice i will try to contact them again,none,none,i will try to contact them again,0,0,1
82628b5acdbf44f069d2f60f6410df10,688e9b5d6542594aa59ed0fad8be557f,i did n't receive it the delivery deadline has already expired and the store is not saying anything,the delivery deadline has already expired,none,i did n't receive it the delivery deadline has already expired and the store is not saying anything,1,0,1
34da88737ee5e9bfdbb66b25fd897ba1,d28a7e04bda001c57d07c08a2f5316e6,i bought wrong and messed up great site for shopping but the post sale accessory services exchange guidance regret do n't work,none,i bought wrong and messed up,post sale accessory services exchange guidance regret do n't work,0,-1,-1
9197a56cc2b11d297d09c80ea92854a1,aeb42a43f79770a6814d16704d4e1f58,my first purchase at stark loved it i received exactly what i had envisioned and before the expected deadline i recommend,before the expected deadline,i received exactly what i had envisioned,i received exactly what i had envisioned and before the expected deadline i recommend,1,1,1
f451d5df774a49807c74e5ea311c7b45,a20244bef3bafb6f4d37e3603539336d,we are waiting for our delivery of the products,delivery of the products,our delivery of the products,none,1,1,0
d757bfcb362e334c464c87b63d77b909,573a63f55da869597574d6ce4e1719a3,i received a confirmation email for a product that has not been delivered yet out of the various recent purchases i made with stark this is the only product that has not been delivered,this is the only product that has not been delivered,none,i received a confirmation email for a product out of the various recent purchases i made with stark regarding customer service,1,0,1
594129b09dc5cc6caa2defdf59cb3600,f060da7770c69e820eb3a1765915c4b2,the product was delivered on time but they do n't update the tracking it showed that it was in the same place for days and the post office did n't even know when it could be delivered,the product was delivered on time,none,none,1,0,0
021515f18c9300381946cb7254e5eb9f,10d6e6ff69ff215144be63f043568409,satisfeito translates to satisfied the complete sentence is satisfied the product arrived on time and everything went well,the product arrived on time and everything went well,the product arrived on time and everything went well,everything went well with the purchase and the service,1,1,1
3dc307785b5f57c2c873d306badf8365,a8f412e6559ed350a64d8b9f2ecbcc84,varã grande recomendo translates to large pole i recommend,none,none,none,0,0,0
ee62a757b5b0abc77d6f1ea3f2cb6456,57d81bf4762c3335d0c6f021fe001856,translation i highly recommend it excellent,none,i highly recommend it excellent,translation i highly recommend it excellent,0,1,1
86ecdb1c61cc0479ca3150564e0d811f,ed3b18e876bbc16bfe330cd934aa0f68,it has been a month since i bought it and i have not yet received all the merchandise i bought,none,none,none,0,0,0
ef9567ebe6a7683e169eac2f6eb747a0,928186dcfbb7994142aaebad08b3bd90,excellent product i recommend it,none,excellent product,none,0,1,0
a735f5195909fafb92f44da0b287301c,637143b11a1b8c86d9e349f19ee9a1f5,i am very satisfied with the speed at which the product arrived well before the expected date,the speed at which the product arrived well before the expected date,none,none,1,0,0
b703764760e6e5d534a8940a12fca101,2b49d60af10ea7e2443376987ec8a184,i only bought one cover but i paid for three more than reais for one cover,none,none,none,0,0,0
d86d3acb3495fb570f60392f6426569f,637829c452a59980120d8015af137b78,great great purchase arrived much earlier than expected thank you,arrived much earlier than expected,great great purchase,thank you,1,1,1
123677b9b5cf02b90443c0f40ca276bc,e3650ea29ce4ca131ce317a0f291fd56,great product it arrived quickly and in perfect condition,arrived quickly and in perfect condition,great product it arrived quickly and in perfect condition great product,great product it arrived quickly and in perfect condition,1,1,1
6ff0c3b38706728bce8d7f1390fba9be,010efe60bdadc9261d1902f3c1dda5f3,i recommend the product it met my expectations i recommend it to those interested,none,the product met my expectations,none,0,1,0
ac47ca7efd8af43516a05cf45e1f8503,0fb5c1eed567a130668d5f2797413053,the cover does n't have finishing it seems like the sewing was n't completed the product does n't have lannister quality,none,the product does n't have lannister quality,none,0,1,0
0eb7bacd568d3780f88cb7ca583ccf84,ee853ac1586ba81c396f4612daa1553f,the photo shows one thing the product is another the scissors are of a different model from the one in the purchase photo,none,none,none,0,0,0
f67200897bebcf89fd62b89e12fc0ba8,104d88e666e2ec697eee4ce419862e5a,i received the wrong product i received a product from the same brand but inferior to what i had purchased without any warning from the supplier,none,none,none,0,0,0
828b5efb6c4933de4cc778e3f79a2c32,68ba2f5321a125f8524a6e7b2fcbfd94,did i not receive the set of groceries were they prepared for shipment,none,none,none,0,0,0
58a14062f8158244451a2088db4a7457,18bafb91a9e78b83e54eb5aa495a955f,excellent product it met my expectations,none,excellent product,none,0,1,0
d6ff3f35e294cc7302dfab11273140b8,503e8daafed23dbae78ff210f2d41f0f,product does n't work the product is not functioning properly,none,product does not work,none,0,-1,0
b499a994402a4b0bf9100b41f3577f25,55f305618744bee9d9287fa844807280,excellent purchase made successfully i am satisfied i received the product much earlier than expected and it was exactly what was advertised congratulations until the next purchase,i received the product much earlier than expected,i received the product much earlier than expected and it was exactly what was advertised,excellent purchase made successfully,1,1,1
adeb4cd136b9f49ba7f7e037ad87cf99,c260d944a07210c4fabf8b7d67ac8d6f,i highly recommend it wonderful product great quality,none,wonderful product great quality,none,0,1,0
a4187edd87df4e41ee954b335e82bac9,6291632d14ae01709d25b7f6cf2f46d7,excellent great product and delivery was before the deadline,delivery was before the deadline,excellent great product,excellent great product and delivery was before the deadline,1,1,1
90f5c4c558b62c38cec72f7160fbae3f,a1ca351ecfd6a7962ae956aeb0c9f96c,best price and speed,speed,best price,best price and speed,1,1,1
7060e438071d6d92247cacb6f49ab033,05093c063b3e4c3b5f4ef831d7da7fd5,success,none,none,success,0,0,1
89cc371aa84d2f8b0a0ca02a9fec8d45,81c53fd7fc60655da24e455974b880ce,regret i should n't have bought it,none,regret i should n't have bought it,none,0,-1,0
4742655b1e39dd8f4ae75fa947d35bb0,0a8f35ef46160ef897c27ba8c423d823,where is my tap,none,none,none,0,0,0
38320251939be57c87237e3fe93a7552,2fa74b22c65ece27ba1edf1f40354e19,i highly recommend it,none,none,customer service,0,0,1
d343742a16c659fc71d75a9bc0cef406,9d22a4e7760c64525433b46cd0cefe47,i did n't receive the product it 's a shame to buy a product and not receive it,none,none,none,0,0,0
2e889d1c3ef089bdf849c833669f2f04,ab1a70d5cd14419a6f2c2aca5ee8a79b,chair has not arrived i purchased three items however the chair has not been delivered to this day i am waiting for an urgent update on the situation,the chair has not been delivered to this day,none,i am waiting for an urgent update on the situation regarding my purchase of three items,1,0,-1
aea672ac00b54c5ebbc7cb3344189ccf,07d395244b58ce72bbecdafbb1b60ace,wrong product i bought a product and another one came i returned the product,none,none,none,0,0,0
f83371cb454015c8064bb99b6dfd87d6,88b36969638ed8c7af9be0f985d142d1,i did not receive the product the status is set to receive on october th i am awaiting a response,receive on october th,none,none,1,0,0
85ce1747a7881af3baba780c7225a772,945974d480bc501f2da3b39ec23fa369,great seller great product super fast delivery,super fast delivery,great product,great seller great service,1,1,1
2cecb6c443f90194bce6320a0665eb6d,7c37927fa7676a5dc4dafc75d15d6bdc,this sticker tore apart completely when i tried to stick it to the wall it was frustrating it was super difficult to remove from the paper and when i finally did it tore and crumpled the end result was that it went in the trash my money was wasted,none,this sticker tore apart completely when i tried to stick it to the wall,none,0,1,0
95d4ae0dfeec1052d27ebca0d97c94dc,2b5d3344cbf347b2aa5bc40c5deb3de6,everything went as expected i highly recommend to all customers of lannister com with all my strength,none,none,i highly recommend to all customers of lannister com with all my strength,0,0,1
945d211fa108e0d6a0ed9ff283e2fd10,79ba9ff956399f8ca9eaa802139851fd,my husband loved it it meets all his needs,none,meets all his needs,none,0,1,0
e756e7d72459f513ac8cbf720f1e56cb,818b0cfed13b2b6712926e620e37ec60,great product of high quality and very nice highly recommended,none,great product of high quality,none,0,1,0
cf459b97007da6a2740414e1a5e50a0e,1a8c121e292cdf1a297a0bfb45858d3a,terrible store it took too long to arrive and they sent the wrong product and wrong quantity i 'm sorry but this store only made mistakes i contacted you and asked for my money back and i want to return the product,none,none,i contacted you and asked for my money back and i want to return the product,0,0,1
4de1dafec811b664ac863178f2240237,b0f00a17e5b2e5ced966e961281b123e,extremely fast and efficient,extremely fast and efficient delivery,extremely fast and efficient product,extremely fast and efficient,1,1,1
6d7d0a5e33c92adf782b137720eeefa6,d9aefa5d4ccd369c783f5121e069a470,weak product as for the website i have nothing to question they always fulfill the agreement i always recommend but the product is weak,none,weak product,none,0,-1,0
76e630724cafd973527d83e09c2755d2,f351ab7501d0f1d1874843df793c2fa6,i did n't receive it and i do n't have any information if it will be cancelled or delivered,it will be cancelled or delivered,none,i did n't receive it and i do n't have any information if it will be cancelled or delivered,-1,0,-1
5ea55dd7db5133e78e4b0aa6a2cf19d2,b8e9df924b8a1dca22c4920e9d6b33bc,it arrived before the deadline good quality just the way i expected satisfied,arrived before the deadline,good quality just the way i expected,none,1,1,0
7d9de731a6322fddaffbb1626413466a,85dbef7e8d4c780110b5900a73b43556,the deadline for product delivery was march st today is march th and it still has n't arrived i have already sent a message to the company to find out what is going on but they have not responded i do not recommend,the deadline for product delivery was march st and it still has n't arrived,none,none,1,0,0
4f4e104b6dab11686bc78cbda3c35ed0,f3d1138add2934e968eaa91ce26da835,excellent in addition to being very organized since the issuance of the invoice the product was delivered without any damage,the product was delivered without any damage,the product was delivered without any damage,the product was delivered without any damage,-1,-1,-1
1fde0ec1f083fb2a27629ddc8b47473f,1e69dcdcbc094d39d6ba64248af906fb,the purchase arrived very quickly,none,none,none,0,0,0
c4fd6bbeb69f07d7a6fd51f499cf3e1d,5fa07dc6decfe46fc927c21aa315c87c,i received the product within the deadline and as expected,none,none,none,0,0,0
ed3188ebfdc942aca4579497c71309d7,93ce5dbe519fd117a153211be6475a39,the product arrived at my residence completely broken and i have n't been able to exchange it yet it 's a lack of respect,none,the product arrived at my residence completely broken,none,0,-1,0
4cf7147b4540d0a2727aa981b142381b,a91719c33cb682b0e23e021e99e98c94,it arrived before the deadline thank you very much,none,none,none,0,0,0
e9d41534bfd2a7d2c64add92b58fce8d,79b7b2178c759fa227cafb377193cd83,i received two chargers however with different references the model cdq was correct and the other one that i gave as a gift did n't work,none,none,none,0,0,0
54adef4b14a94b081b5b5e0606bee348,00ec95a58b63378d4cc06d196cdefdf6,i had canceled the purchase but they still delivered it to me,they still delivered it to me,none,i had canceled the purchase but they still delivered it to me,1,0,1
5bc9dc407453b72d2ed022e4105a9197,636cdd02667dc8d76d9296bf20a6890a,neither targaryen nor stark intermediary answered or gave any satisfaction for the product i paid for in cash delivery deadline product was paid for almost month ago,delivery deadline product was paid for almost month ago,none,none,1,0,0
e25fd95ebfd0f1e20bc5fd151efa6654,a4a234174a4aa5d0d13f339d9308c4ec,great store the lamp is beautiful arrived very well packaged and well before the expected deadline,arrived very well packaged and well before the expected deadline,the lamp is beautiful,none,1,1,0
0aebc1159163dc0a43bcba90274e30aa,9c7b78b186d8f105e716025272a904b4,i always like to buy at lannister,none,none,i always like to buy at lannister,0,0,1
005554efe7c593653eef91c1c8b1ff86,894f6e0db677f7c543348befc4ecc7da,i am liking the product i would like to buy other products like or and pay only one shipping fee would n't that be fair just a suggestion,only one shipping fee,i would like to buy other products,none,1,1,0
0c8e680fe7e5aa70aa7ef908d3281aac,5531c5191d84b148fedae149af1971ad,fast delivery and i recommend to everyone you can buy with confidence,fast delivery,none,fast delivery and i recommend to everyone you can buy with confidence,1,0,1
f677a419ee4910ae12bf8cb73dc0d332,7368e14d8b9e7b886e433697b89e937c,the cables and manual were missing,none,none,the cables and manual were missing,0,0,-1
a63fa2e52bfbe5028f488ce655e553ca,ced1ad511f0040ea9b8eb5008d7d1344,the curtain is perfect exactly as i wanted light fabric i recommend not to mention it arrived in two days,it arrived in two days,light fabric,none,1,1,0
d1a3e57d568cf208eddcf9046a132623,8f2f6732a3a5fae797b581713dd07bc9,i received the product much before the deadline well packed and the tracking was perfect excellent,i received the product much before the deadline,none,none,1,0,0
b0f9a68177c8390ca39707a56e998772,774847476ad545e9bcb605a75dd40de6,excellent purchase quality product and fast delivery i recommend,fast delivery,quality product,excellent purchase quality product and fast delivery i recommend,1,1,1
3ac6fc02989c34c21a2483b6881767df,f854f7c57d83d7b4f97a9d5cfcd3ebbc,everything as expected and very fast delivery well before the deadline,very fast delivery,none,everything as expected and very fast delivery well before the deadline,1,0,1
c876f1572e46dd8d85fa95bce0a5bed4,dc8e3dc6a8e29fdc96bb539516a4a175,the product shows clear signs of use with some parts worn out it is definitely not new,none,clear signs of use,none,0,1,0
f2dc23c2e4b2a2f7db280c9775712536,11c282981ca238ce75b48aa5a75bdeea,for what i need this product meets my needs good price,none,for what i need this product meets my needs good price,none,0,1,0
390c78a5aa8b87a0e74a827fd5736078,1db6b3e51590f33eb7c5f063687a8f2d,my complaint is that the product arrived with a defect,none,my complaint is that the product arrived with a defect,none,0,-1,0
fc5c31764fc9ebd841881d9801043e7e,8ba268235fbb748f118500dc2f8f9781,we bought a custom made super king size but it was delivered as a smaller king size the person we gave it to did n't want to exchange the product,it was delivered as a smaller king size,we bought a custom made super king size but it was delivered as a smaller king size the person we gave it to did n't want to exchange the product,none,1,1,0
e1e9755ce1f12f5a2e2c86b2c2c63dc4,c9bfa5aa446a8a2e13124ddcff398657,i received it on time and as i wanted i recommend the product and the store,none,i recommend the product,i received it on time and as i wanted i recommend the product and the store,0,1,1
efeccb75de3e9594af32083bbc3bc827,2a18b3d0f12775db98aeb028d0e388da,the product is wonderful but for the quantity it is not worth it,none,the product is wonderful,none,0,1,0
0e07972349d15f59bef7ae1e38a4ba22,3c33046864727b932e3c4087844f091c,fast delivery but i ordered units and received only unit i contacted lannister and the problem was solved without any major issues,fast delivery,i ordered units and received only unit i contacted lannister and the problem was solved without any major issues,none,1,-1,0
08a1b9ab2c8ef32b5771b6f3f0ce3678,0ac372f92fbec55ca27ef4fa99a6a13a,i will make new orders,none,none,none,0,0,0
f676b4a89abc42681e4cd67dfb2621d5,637617b3ffe9e2f7a2411243829226d0,good very good quality product,none,good very good quality product product,none,0,1,0
fff499b80f66e1c189eab15613fc7bf6,8a723730400b508cbf47fbef4a76ec8e,very good hair is smooth,none,none,none,0,0,0
e0ac5567e8dd7883ba9cd748eec692b3,31626e2772bff2ffd92d111582296642,great highly recommend super fast delivery,super fast delivery,none,none,1,0,0
7945870a59146fcc70a0c45dc931fbab,cfd355e6233b9854f7decc72472f9c3e,the holes on the cover for connecting the mm cable and microphone do not match the cell phone,none,the holes on the cover for connecting the mm cable and microphone do not match the cell phone,none,0,1,0
ed4193f666d0d0363de63acca6d5ae0f,7d1368ef7cac9199c5f7372a8e356651,i have n't received my merchandise yet the deadline has passed and i have n't received it,none,none,i have n't received my merchandise yet the deadline has passed and i have n't received it,0,0,1
3310345582c65826f31d3c331aab7a11,f3a9533be7d4d89807905327d3d9a90f,critique the towels are rough and thin beautiful deceptive advertising,none,the towels are rough and thin,none,0,1,0
